,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
56,Foghsgaard,,"Se hvordan coronavirus sniger sig ind i lungeceller, laver vores krop om til en virusfabrik og fremkalder alt fra mild forkølelse til slem influenza @politiken #dkvid @SSI_dk #CoronavirusOutbreak #COVID2019",1,4,1,1233312552056246273,https://twitter.com/Foghsgaard/status/1233312552056246273,50761497,2020-02-28 08:46:40+00:00,Fri Feb 28 08:46:40 +0000 2020,#dkvid #CoronavirusOutbreak #COVID2019,@politiken @SSI_dk,,https://politiken.dk/del/FgljEVAALT3A
57,hamrahshowaziz,,"Rt.@iran_policy-As Natural Disasters Continue in #Iran, Regime Continues Its Inaction https://ncr-iran.org/en/news/society/27469-as-natural-disasters-continue-in-iran-regime-continues-its-inaction #FreeIran2020 #coronavirus #CoronavirusIran #IranRegimeChange",1,1,0,1233311552419377152,https://twitter.com/hamrahshowaziz/status/1233311552419377152,1166724223,2020-02-28 08:42:42+00:00,Fri Feb 28 08:42:42 +0000 2020,#Iran #FreeIran2020 #coronavirus #CoronavirusIran #IranRegimeChange,@iran_policy,,https://ncr-iran.org/en/news/society/27469-as-natural-disasters-continue-in-iran-regime-continues-its-inaction
58,hamrahshowaziz,,".@latimes wrote ""#Iran became a hot zone for #coronavirus in the #MiddleEast"" ..and yet regime continues to cover-up the scope of #COVID19 spread in Iran and has prevented @WHO delegation from entering Iran. https://women.ncr-iran.org/2020/02/27/covid-19-infection-kills-national-futsal-player-elham-sheikhi-in-qom/",0,0,0,1233311376447352832,https://twitter.com/hamrahshowaziz/status/1233311376447352832,1166724223,2020-02-28 08:42:00+00:00,Fri Feb 28 08:42:00 +0000 2020,#Iran #coronavirus #MiddleEast #COVID19,@latimes @WHO,,https://women.ncr-iran.org/2020/02/27/covid-19-infection-kills-national-futsal-player-elham-sheikhi-in-qom/
59,hamrahshowaziz,,"#Iran #news in brief, Feb 27, 2020 https://youtu.be/UFY7Gdn7EzY via @YouTube #CoronaVirusIran #coronavirus #1988Massacre #CrimesAgainstHumanity #خامنه‌ای_عامل_ویرانی #سپاه_عامل_جنایت #40YearsOfFailure #ایران #IranProtests #WeSupportMEK #Humanrights #FreeIran2020",1,2,0,1233311335221469184,https://twitter.com/hamrahshowaziz/status/1233311335221469184,1166724223,2020-02-28 08:41:50+00:00,Fri Feb 28 08:41:50 +0000 2020,#Iran #news #CoronaVirusIran #coronavirus #1988Massacre #CrimesAgainstHumanity #40YearsOfFailure #IranProtests #WeSupportMEK #Humanrights #FreeIran2020,@YouTube,,https://youtu.be/UFY7Gdn7EzY
60,_sararud,,"16 procent øldrikkende amerikanere har været i tvivl om, hvorvidt Corona-øl og coronavirus havde en sammenhæng... Den lader jeg lige stå lidt... https://www.prnewswire.com/news-releases/5wpr-survey-reveals-38-of-beer-drinking-americans-wouldnt-buy-corona-now-301012225.html #coronavirus",0,3,0,1233304257807470593,https://twitter.com/_sararud/status/1233304257807470593,492387704,2020-02-28 08:13:43+00:00,Fri Feb 28 08:13:43 +0000 2020,#coronavirus,,,https://www.prnewswire.com/news-releases/5wpr-survey-reveals-38-of-beer-drinking-americans-wouldnt-buy-corona-now-301012225.html
61,SteffenWM,,"Kim Fournais skriver i dag i @berlingske, at frygten for coronavirus kan starte en lavine i de finansielle markeder. Negative renter, stor gæld og opbygget risiko er en farlig cocktail og alle bør arbejde mere med risikostyring #dkfinans #dkpol",0,2,1,1233301707490242561,https://twitter.com/SteffenWM/status/1233301707490242561,755694122,2020-02-28 08:03:35+00:00,Fri Feb 28 08:03:35 +0000 2020,#dkfinans #dkpol,@berlingske,,https://www.berlingske.dk/kronikker/kim-fournais-corona-kan-true-den-finansielle-stabilitet
62,silindsoftware,nixcraft,The coronavirus official reached Denmark! We need to be prepared! ,0,1,1,1233301203376902144,https://twitter.com/silindsoftware/status/1233301203376902144,875776212341329920,2020-02-28 08:01:35+00:00,Fri Feb 28 08:01:35 +0000 2020,,,,https://twitter.com/nixcraft/status/1233297175913779203
63,SuneHein,,Germany eyes tax breaks to counter coronavirus impact ,7,4,0,1233296845071437824,https://twitter.com/SuneHein/status/1233296845071437824,422453897,2020-02-28 07:44:16+00:00,Fri Feb 28 07:44:16 +0000 2020,,,,https://reut.rs/3abhYIe
64,ulriklykke,alimanfoo,It's easy to be both naive and over-cautious about the spread of coronavirus. Check out these great tips from Malaria-researcher Alistair Miles: ,0,0,0,1233295866322128896,https://twitter.com/ulriklykke/status/1233295866322128896,206786267,2020-02-28 07:40:22+00:00,Fri Feb 28 07:40:22 +0000 2020,,,,https://twitter.com/alimanfoo/status/1232693018295250946
65,SteveGPickering,,"""It will cost something to reduce mobility in the short term, but failure to do so will cost eventually cost everything"" #coronavirus #COVID",1,0,0,1233292513773051904,https://twitter.com/SteveGPickering/status/1233292513773051904,60674916,2020-02-28 07:27:03+00:00,Fri Feb 28 07:27:03 +0000 2020,#coronavirus #COVID,,,
